elapsed_s,produced,acked,send_rejects,delivery_errors,consumed,duplicates,reordered,open_gaps,parse_errors,win_p50_us,win_p99_us,win_max_us,rss_mib,producer_retries,producer_lib_errors,rebalances,consumer_restarts,wedges
920,920550,920550,0,0,922113,1602,2081,39,0,12760,20247,22408,12.6,0,0,5,1,0
930,930600,930550,0,0,932113,1602,2081,39,0,12267,20007,21093,12.6,0,0,5,1,0
940,940600,940550,0,0,942113,1602,2081,39,0,12879,19155,23863,12.6,0,0,5,1,0
950,950600,950600,0,0,952163,1602,2081,39,0,12202,18153,21732,12.6,0,0,5,1,0
960,960600,960600,0,0,962163,1602,2081,39,0,12333,18164,19893,12.6,0,0,5,1,0
970,970600,970600,0,0,972163,1602,2081,39,0,12585,18207,20482,12.6,0,0,5,1,0
980,980600,980600,0,0,982163,1602,2081,39,0,12589,17401,18295,12.6,0,0,5,1,0
990,990600,990600,0,0,992163,1602,2081,39,0,12632,17570,21351,12.6,0,0,5,1,0
1000,1000600,1000600,0,0,1002163,1602,2081,39,0,12242,20708,28373,12.6,0,0,5,1,0
1010,1010600,1010600,0,0,1012163,1602,2081,39,0,12237,18178,23377,12.6,0,0,5,1,0
1020,1020650,1020600,0,0,1022163,1602,2081,39,0,12123,17932,19485,12.6,0,0,5,1,0
1030,1030650,1030600,0,0,1032163,1602,2081,39,0,12151,17432,24641,12.6,0,0,5,1,0
1040,1040650,1040650,0,0,1042213,1602,2081,39,0,12214,20713,22910,11.9,0,0,5,1,0
1050,1050650,1050650,0,0,1052213,1602,2081,39,0,12607,20217,25777,11.9,0,0,5,1,0
1060,1060650,1060650,0,0,1062213,1602,2081,39,0,12513,17880,20281,11.9,0,0,5,1,0
1070,1070650,1070650,0,0,1072213,1602,2081,39,0,12531,18229,19186,11.9,0,0,5,1,0
1080,1080650,1080650,0,0,1082213,1602,2081,39,0,12268,19412,20957,11.9,0,0,5,1,0
1090,1090700,1090650,0,0,1092213,1602,2081,39,0,12347,18993,24021,11.9,0,0,5,1,0
1100,1100700,1100650,0,0,1102213,1602,2081,39,0,12428,18076,22342,11.9,0,0,5,1,0
1110,1110700,1110650,0,0,1112213,1602,2081,39,0,12916,17519,23273,11.9,0,0,5,1,0
1120,1120700,1120700,0,0,1122263,1602,2081,39,0,12379,17600,18048,11.9,0,0,5,1,0
1130,1130700,1130700,0,0,1132263,1602,2081,39,0,12417,17450,25124,11.9,0,0,5,1,0
1140,1140700,1140700,0,0,1142263,1602,2081,39,0,12904,18658,19647,11.9,0,0,5,1,0
1150,1150700,1150700,0,0,1152263,1602,2081,39,0,12474,18457,19367,11.9,0,0,5,1,0
1160,1160700,1160700,0,0,1162263,1602,2081,39,0,12391,16724,24807,11.9,0,0,5,1,0
1170,1170700,1170700,0,0,1172263,1602,2081,39,0,12814,17223,18325,11.9,0,0,5,1,0
1180,1180750,1180700,0,0,1182263,1602,2081,39,0,12151,17377,25049,11.8,0,0,5,1,0
1190,1190750,1190700,0,0,1192263,1602,2081,39,0,12855,17446,27780,11.7,0,0,5,1,0
1200,1200750,1200750,0,0,1202313,1602,2081,39,0,12707,16883,20173,11.6,0,0,5,1,0
1210,1210750,1210750,0,0,1212313,1602,2081,39,0,12505,17391,18447,11.6,0,0,5,1,0
1220,1220750,1220750,0,0,1222313,1602,2081,39,0,12977,17585,25470,11.6,0,0,5,1,0
1230,1230750,1230750,0,0,1232313,1602,2081,39,0,12153,18200,19816,11.6,0,0,5,1,0
1240,1240750,1240750,0,0,1242313,1602,2081,39,0,12704,17869,19731,11.6,0,0,5,1,0
1250,1250750,1249899,0,0,1252681,2363,2619,58,0,12140,1031526,1135180,13.0,0,0,5,1,0
1260,1260800,1260750,0,0,1266701,6006,2903,39,0,13908,3754042,5552617,13.4,0,0,5,1,0
1270,1270800,1270750,0,0,1276708,6006,2903,39,0,11769,16515,16875,13.4,0,0,5,1,0
1280,1280800,1280800,0,0,1286750,6006,2903,39,0,12830,18841,24582,13.4,0,0,5,1,0
1290,1290800,1290800,0,0,1296743,6006,2903,39,0,12734,18270,27704,13.4,0,0,5,1,0
1300,1300800,1300800,0,0,1306742,6006,2903,39,0,12129,19083,24229,13.4,0,0,5,1,0
1310,1310800,1310800,0,0,1316742,6006,2903,39,0,11947,17384,29503,13.4,0,0,5,1,0
1320,1320800,1320800,0,0,1326725,6006,2903,39,0,11895,18183,18967,13.4,0,0,5,1,0
